[2, 0]
[7, 0]
[12, 0]
[17, 0]
[22, 0]
[27, 0]
[32, 0]
[37, 0]
[42, 0]
[47, 0]
[52, 0]
[57, 0]
[62, 0]
[67, 0]
[72, 0]
[77, 0]
[82, 0]
[87, 0]
[92, 0]
[97, 0]
[102, 0]
[107, 0]
[112, 0]
[117, 0]
[122, 0]
[127, 0]
[132, 0]
[137, 0]
[142, 0]
[147, 0]
[152, 0]
[157, 0]
[162, 0]
[167, 0]
[172, 0]
[177, 0]
[182, 0]
[187, 0]
[192, 0]
[197, 0]
[202, 0]
[207, 0]
[212, 0]
[217, 0]
[222, 0]
[227, 0]
[232, 0]
[237, 0]
[242, 0]
[247, 0]
[252, 0]
[257, 0]
[262, 0]
[267, 0]
[272, 0]
[277, 0]
[282, 0]
[287, 0]
[292, 0]
[297, 0]
[302, 0]
[307, 0]
[312, 0]
[317, 0]
[322, 0]
[327, 0]
[332, 0]
[337, 0]
[342, 0]
[347, 0]
[352, 0]
[357, 0]
[362, 0]
[367, 0]
[372, 0]
[377, 0]
[382, 0]
[387, 0]
[392, 0]
[397, 0]
[402, 0]
[407, 0]
[412, 0]
[417, 0]
[422, 0]
[427, 0]
[432, 0]
[437, 0]
[442, 0]
[447, 0]
[452, 0]
[457, 0]
[462, 0]
[467, 0]
[472, 0]
[477, 0]
[482, 0]
[487, 0]
[492, 0]
[497, 0]
[502, 0]
[507, 0]
[512, 0]
[517, 0]
[522, 0]
[527, 0]
[532, 0]
[537, 0]
[542, 0]
[547, 0]
[552, 0]
[557, 0]
[562, 0]
[567, 0]
[572, 0]
[577, 0]
[582, 0]
[587, 0]
[592, 0]
[597, 0]
[602, 0]
[607, 0]
[612, 0]
[617, 0]
[622, 0]
[627, 0]
[632, 0]
[637, 0]
[642, 0]
[647, 0]
[652, 0]
[657, 0]
[662, 0]
[667, 0]
[672, 0]
[677, 0]
[682, 0]
[687, 0]
[692, 0]
[697, 0]
[702, 0]
[707, 0]
[712, 0]
[717, 0]
[722, 0]
[727, 0]
[732, 0]
[737, 0]
[742, 0]
[747, 0]
[752, 0]
[757, 0]
[762, 0]
[767, 0]
[772, 0]
[777, 0]
[782, 0]
[787, 0]
[792, 0]
[797, 0]
[802, 0]
[807, 0]
[812, 0]
[817, 0]
[822, 0]
[827, 0]
[832, 0]
[837, 0]
[842, 0]
[847, 0]
[852, 0]
[857, 0]
[862, 0]
[867, 0]
[872, 0]
[877, 0]
[882, 0]
[887, 0]
[892, 0]
[897, 0]
[902, 0]
[907, 0]
[912, 0]
[917, 0]
[922, 0]
[927, 0]
[932, 0]
[937, 0]
[942, 0]
[947, 0]
[952, 0]
[957, 0]
[962, 0]
[967, 0]
[972, 0]
[977, 0]
[982, 0]
[987, 0]
[992, 0]
[997, 0]
[1002, 0]
[1007, 0]
[1012, 0]
[1017, 0]
[1022, 0]
[1027, 0]
[1032, 0]
[1037, 0]
[1042, 0]
[1047, 0]
[1052, 0]
[1057, 0]
[1062, 0]
[1067, 0]
[1072, 0]
[1077, 0]
[1082, 0]
[1087, 0]
[1092, 0]
[1097, 0]
[1102, 0]
[1107, 0]
[1112, 0]
[1117, 0]
[1122, 0]
[1127, 0]
[1132, [8, 9, 10, 12, 14, 15, 18, 21, 24, 28, 30, 35]]
[1137, 0]
[1142, 0]
[1147, 0]
[1152, 0]
[1157, [8, 9, 10, 12, 15, 16, 18, 20, 21, 24, 28, 48]]
[1162, [8, 9, 10, 12, 14, 15, 18, 20, 21, 28, 35, 40]]
[1167, 0]
[1172, 0]
[1177, 0]
[1182, 0]
[1187, 0]
[1192, 0]
[1197, [6, 8, 12, 14, 15, 18, 20, 21, 24, 28, 35, 36]]
[1202, 0]
[1207, [8, 9, 10, 12, 14, 15, 16, 18, 24, 30, 35, 48]]
[1212, [6, 9, 10, 14, 15, 18, 20, 21, 24, 28, 35, 40]]
[1217, [7, 8, 9, 14, 15, 18, 20, 21, 24, 28, 35, 42]]
[1222, [6, 9, 12, 14, 15, 16, 18, 20, 21, 28, 35, 48]]
[1227, 0]
[1232, [5, 10, 12, 14, 15, 18, 20, 21, 28, 30, 35, 36]]
[1237, [6, 8, 10, 14, 15, 18, 21, 24, 28, 30, 35, 36]]
[1242, [7, 8, 10, 12, 14, 15, 21, 24, 28, 30, 35, 42]]
[1247, [6, 8, 12, 14, 15, 16, 20, 21, 24, 28, 35, 48]]
[1252, [7, 8, 9, 12, 14, 18, 21, 24, 28, 30, 35, 42]]
[1257, [7, 8, 10, 12, 14, 15, 20, 24, 28, 30, 36, 45]]
[1262, [6, 7, 12, 14, 15, 18, 20, 24, 28, 30, 36, 40]]
[1267, [5, 8, 12, 14, 18, 20, 21, 24, 28, 30, 35, 36]]
[1272, [6, 8, 12, 14, 15, 16, 18, 20, 24, 35, 36, 48]]
[1277, [7, 8, 9, 12, 16, 18, 20, 21, 24, 28, 42, 48]]
[1282, [5, 9, 10, 14, 18, 20, 21, 24, 28, 30, 35, 40]]
[1287, [6, 8, 9, 14, 15, 20, 21, 24, 28, 30, 35, 45]]
[1292, [5, 9, 12, 14, 16, 18, 20, 21, 28, 30, 35, 48]]
[1297, [6, 8, 9, 12, 18, 20, 21, 24, 28, 30, 36, 45]]
[1302, [5, 9, 12, 14, 15, 18, 20, 21, 28, 35, 36, 45]]
[1307, [5, 10, 12, 14, 15, 16, 18, 20, 30, 35, 36, 48]]
[1312, [6, 7, 9, 15, 18, 20, 21, 24, 28, 30, 40, 42]]
[1317, [5, 8, 12, 14, 16, 20, 21, 24, 28, 30, 35, 48]]
[1322, [5, 8, 12, 14, 15, 18, 21, 28, 30, 35, 36, 40]]
[1327, [5, 8, 12, 14, 15, 20, 21, 24, 28, 35, 36, 45]]
[1332, [5, 8, 10, 15, 18, 20, 21, 24, 30, 35, 36, 42]]
[1337, [4, 10, 14, 15, 18, 20, 21, 24, 28, 35, 36, 40]]
[1342, [5, 8, 12, 14, 16, 18, 20, 24, 30, 35, 36, 48]]
[1347, [4, 12, 14, 15, 16, 18, 20, 21, 28, 35, 36, 48]]
[1352, [5, 7, 12, 14, 18, 20, 21, 28, 30, 35, 36, 42]]
[1357, [5, 9, 10, 14, 16, 18, 20, 24, 30, 35, 40, 48]]
[1362, [6, 7, 12, 14, 15, 18, 20, 21, 24, 30, 40, 63]]
[1367, [5, 7, 14, 15, 16, 18, 20, 24, 28, 36, 40, 48]]
[1372, [4, 10, 12, 14, 18, 21, 24, 28, 30, 35, 36, 40]]
[1377, [4, 9, 15, 16, 18, 20, 21, 24, 28, 30, 40, 48]]
[1382, [5, 8, 10, 15, 16, 20, 21, 24, 30, 35, 42, 48]]
[1387, [4, 9, 14, 15, 18, 20, 21, 28, 30, 35, 36, 45]]
[1392, [5, 7, 10, 14, 20, 21, 24, 28, 30, 35, 40, 42]]
[1397, [4, 9, 14, 16, 18, 20, 21, 24, 28, 35, 40, 48]]
[1402, [5, 7, 12, 14, 15, 18, 24, 30, 35, 36, 40, 42]]
[1407, [5, 8, 9, 14, 18, 20, 21, 28, 35, 36, 40, 45]]
[1412, [4, 8, 14, 15, 20, 21, 24, 28, 30, 35, 36, 45]]
[1417, [5, 7, 10, 14, 18, 20, 24, 30, 35, 36, 40, 42]]
[1422, [4, 8, 14, 16, 18, 21, 24, 28, 30, 35, 36, 48]]
[1427, [5, 7, 12, 14, 16, 18, 20, 30, 35, 36, 42, 48]]
[1432, [4, 8, 15, 16, 18, 20, 21, 28, 30, 36, 40, 48]]
[1437, [4, 7, 15, 18, 20, 21, 24, 28, 30, 36, 40, 42]]
[1442, [4, 9, 12, 14, 18, 21, 24, 28, 35, 36, 40, 45]]
[1447, [4, 8, 15, 16, 18, 20, 21, 24, 35, 36, 42, 48]]
[1452, [4, 8, 14, 16, 18, 20, 21, 28, 35, 36, 40, 48]]
[1457, [4, 7, 14, 18, 20, 21, 24, 28, 35, 36, 40, 42]]
[1462, [4, 9, 14, 15, 16, 18, 20, 30, 35, 36, 45, 48]]
[1467, [4, 10, 12, 14, 15, 21, 24, 28, 30, 35, 42, 56]]
[1472, [4, 8, 12, 15, 20, 21, 24, 30, 35, 36, 42, 45]]
[1477, [4, 8, 12, 14, 20, 21, 28, 30, 35, 36, 40, 45]]
[1482, [4, 8, 12, 16, 18, 21, 24, 30, 35, 36, 42, 48]]
[1487, [4, 7, 15, 16, 20, 21, 24, 28, 30, 40, 42, 48]]
[1492, [4, 9, 12, 14, 16, 21, 24, 28, 35, 40, 45, 48]]
[1497, [4, 7, 14, 15, 20, 21, 28, 30, 35, 36, 42, 45]]
[1502, [4, 8, 15, 16, 18, 20, 21, 24, 28, 36, 48, 60]]
[1507, [3, 15, 16, 18, 20, 21, 24, 28, 30, 36, 40, 48]]
[1512, [4, 7, 15, 16, 18, 20, 24, 30, 36, 40, 42, 48]]
[1517, [4, 9, 12, 14, 16, 18, 24, 35, 36, 40, 45, 48]]
[1522, [4, 8, 14, 15, 18, 20, 24, 28, 30, 35, 36, 70]]
[1527, [3, 14, 16, 18, 20, 21, 24, 28, 35, 36, 40, 48]]
[1532, [4, 7, 12, 15, 21, 24, 28, 30, 36, 40, 42, 45]]
[1537, [4, 8, 12, 15, 18, 20, 24, 30, 36, 40, 42, 56]]
[1542, [4, 8, 10, 15, 20, 21, 30, 35, 36, 40, 42, 45]]
[1547, [4, 7, 10, 20, 21, 24, 28, 30, 36, 40, 42, 45]]
[1552, [3, 12, 14, 20, 21, 24, 28, 30, 35, 36, 40, 45]]
[1557, [4, 7, 12, 14, 20, 24, 30, 35, 36, 40, 42, 45]]
[1562, [4, 6, 16, 18, 20, 21, 24, 35, 36, 40, 42, 48]]
[1567, [3, 14, 15, 16, 20, 21, 28, 30, 35, 36, 45, 48]]
[1572, [3, 14, 15, 18, 20, 21, 24, 28, 35, 36, 42, 56]]
[1577, [4, 6, 15, 16, 21, 24, 28, 30, 36, 40, 45, 48]]
[1582, [3, 14, 15, 18, 20, 21, 24, 28, 35, 36, 40, 60]]
[1587, [3, 12, 16, 18, 20, 21, 24, 35, 36, 40, 42, 48]]
[1592, [4, 6, 14, 18, 21, 24, 28, 30, 35, 36, 40, 60]]
